CleanedArticle_Type,CombinedArticle
0,puzzling maneuver freefall ntsb report provides new details southeast alaska helicopter crash killed 3helicopter crashed southeast alaska late september killing three people entered 500 foot freefall dropping glacier bay national park beach according national transportation safety board preliminary ntsb report released friday offers official probable cause determination made next year earliesthelicopter crashed southeast alaska late september killing three people entered 500 foot freefall dropping glacier bay national park beach according national transportation safety board preliminary ntsb report released friday offers official probable cause determination made next year earliest
0,bell nexus air taxi concept rings changes evtol marketyear teasing fledgling electric vertical takeoff landing evtol industry mockup futuristic air taxi cabin rotary wing giant bell unveiled first major configuration details nexus demand urban air mobility uam concept revealed consumer technology association ces 2019 show las vegas bell nexus distinguished six tilting ducted fans sized carry four passengers pilotyear teasing fledgling electric vertical takeoff landing evtol industry mockup futuristic air taxi cabin rotary wing giant bell unveiled first major configuration details nexus demand urban air mobility uam concept revealed consumer technology association ces 2019 show las vegas bell nexus distinguished six tilting ducted fans sized carry four passengers pilot
0,bell helicopter show air taxi nexusbell released full size design vertical take landing vtol air taxi ces 2019 new hybrid air taxi named nexus connects transportation technology comfort conveniencebell released full size design vertical take landing vtol air taxi ces 2019 new hybrid air taxi named nexus connects transportation technology comfort convenience
0,bell dévoile la conception intégrale de son taxi aérienbell est une société américaine dirigée par mitch snyder la start abandonné la construction hélicoptères pour se consacrer essentiellement aux nouvelles solutions de mobilités urbaines le 07 janvier 2019 le ceo dévoile au public bell nexus il agit un taxi aérien hybride à cinq places capable de décoller et atterrir à la verticalebell est une société américaine dirigée par mitch snyder la start abandonné la construction hélicoptères pour se consacrer essentiellement aux nouvelles solutions de mobilités urbaines le 07 janvier 2019 le ceo dévoile au public bell nexus il agit un taxi aérien hybride à cinq places capable de décoller et atterrir à la verticale
0,les premiers retours olivier ezrattystill anecdotal observe explosion passenger drone projects two specimens presented statically show including huge bell helicopter machine equipped french safran gas turbinesstill anecdotal observe explosion passenger drone projects two specimens presented statically show including huge bell helicopter machine equipped french safran gas turbines
0,highlights ces 2019lg signature oled tv r 65 inch 4k tv stunned viewers audiences unique rolling feature sits top metal housing slide back elegantly left idle tv also brought halfway become smart home controller music player amongst useful thingslg signature oled tv r 65 inch 4k tv stunned viewers audiences unique rolling feature sits top metal housing slide back elegantly left idle tv also brought halfway become smart home controller music player amongst useful things
0,le concept vision urbanetic mercedes entend répondre à la mobilité urbaine du futurle concept vision urbanetic mercedes permet le déplacement des individus à la demande la plateforme de conduite autonome mercedes est animé par un moteur électrique alimenté par une batterie en tant que véhicule partagé le concept vision urbanetic peut accueillir jusqu à 12 passagersle concept vision urbanetic mercedes permet le déplacement des individus à la demande la plateforme de conduite autonome mercedes est animé par un moteur électrique alimenté par une batterie en tant que véhicule partagé le concept vision urbanetic peut accueillir jusqu à 12 passagers
0,bell company announces urban air taxi nexus concept designbell recently announced detailed design urban air mobility system announced name nexus program uses six tilting ducted fans uses hybrid powertrain provide power electric control may also use unmanned cabinbell recently announced detailed design urban air mobility system announced name nexus program uses six tilting ducted fans uses hybrid powertrain provide power electric control may also use unmanned cabin
0,bell helicopter makes debut first major helicopter manufacturer exhibit cesbell helicopter textron inc company major global helicopter manufacturer revealed today ces 2018 air taxi cabin design fully integrated user experience four passenger cabin demonstrates bell view demand mobility aircraft focuses people first engineered user experience tailored urban air taxi ridebell helicopter textron inc company major global helicopter manufacturer revealed today ces 2018 air taxi cabin design fully integrated user experience four passenger cabin demonstrates bell view demand mobility aircraft focuses people first engineered user experience tailored urban air taxi ride
0,bell helicopter unveils nexus air taxi concept cesbell helicopter unveiled full scale design model nexus air taxi ces 2019 betrays approach entirely bought idea high tech electric powered vertically flying mega multirotors summoned smartphone appbell helicopter unveiled full scale design model nexus air taxi ces 2019 betrays approach entirely bought idea high tech electric powered vertically flying mega multirotors summoned smartphone app
